Date,Opponent,Venue,Result,Elo,Glicko,TrueSkill,Poisson_Att,Poisson_Def
2024-11-09,Barrow,A,D,1248.5613537423542,1215.1036085222286,20.187228921632418,-0.21437320658054015,0.3326750180543176
2024-11-16,Bradford,H,D,1252.4700248254476,1220.6534525006323,20.11437388023392,-0.21514137618358486,0.3315966164438228
2024-11-23,Grimsby,A,H,1261.4264936721272,1239.8939054925984,20.213913481466065,-0.21602209957009183,0.32516835195694066
2024-11-30,Fleetwood Town,A,D,1263.2758405394216,1245.2623646429179,20.33008285384601,-0.22074908391726047,0.317195434032452
2024-12-03,Swindon,H,H,1273.0711670390187,1258.8505707264542,20.452802401168537,-0.2080007856302794,0.31026423852540164
2024-12-14,Newport County,H,D,1274.3869163327456,1258.273132111751,20.366971302290054,-0.2148639967151466,0.3045634174714942
2024-12-20,Crewe,A,D,1275.676498339066,1262.7996345776598,20.48548333238495,-0.22027310184518983,0.29723471939886104
2024-12-26,Gillingham,H,H,1287.3154298973366,1280.8795508010414,20.611609905331473,-0.2159987320399088,0.2919391743725376
2024-12-29,Doncaster,H,D,1290.6151271544077,1284.878192207301,20.54317896784642,-0.21753347597334433,0.29058184231719597
2025-01-01,Swindon,A,A,1279.4407620869001,1265.6551809332757,20.444058263398407,-0.21349029033342792,0.2973487576328616
2025-01-04,Accrington,H,A,1271.578740245744,1248.7827439112239,20.362826493179515,-0.22094685521246094,0.30110070325448135
2025-01-18,Bromley,A,H,1282.0521015298496,1268.6143732118007,20.477104209795055,-0.2207990603000892,0.2928465023383217
2025-01-21,Harrogate,A,D,1280.6786676711315,1266.8577809291705,20.573548967183726,-0.22692903528525313,0.28612213295377104
2025-01-25,Morecambe,H,H,1290.2245382944168,1279.596649537217,20.678223706981687,-0.22976271938037143,0.2804695015984459
2025-02-01,Tranmere,A,H,1296.9923114903438,1291.1256881824481,20.76669858263724,-0.21996898251068622,0.2790661758337028
2025-02-08,Walsall,H,H,1309.8853274562164,1312.3678838195674,20.89824533436011,-0.21625257963826378,0.27806232526035757
2025-02-15,Carlisle,A,D,1306.3738423234765,1305.7422029298275,20.975743719103207,-0.2219163434333629,0.27175345489176367
2025-02-18,Notts County,A,D,1306.258255752576,1307.5412290998306,21.077952581391177,-0.22282287680591611,0.26873148009114345
2025-02-22,AFC Wimbledon,H,D,1309.347494119061,1311.4030915120093,21.004371853198,-0.2235006468330207,0.2680965070796115
2025-03-01,Milton Keynes Dons,A,H,1317.533802936377,1324.1587714624306,21.10760507575442,-0.22354054218720912,0.259782492983373
2025-03-04,Chesterfield,H,H,1326.8139019473003,1337.1944246645662,21.206957799123096,-0.22530343163743644,0.2538347578385353
2025-03-08,Cheltenham,A,H,1335.2210292497948,1351.689220028517,21.303621813234003,-0.22551729390198078,0.24694635003791232
2025-03-11,Port Vale,H,H,1346.4773108690374,1367.957047543971,21.426226812622616,-0.22161898811033795,0.24662312535071662
2025-03-15,Fleetwood Town,H,H,1357.0094407608583,1381.6918691931405,21.538058830385157,-0.21243629068513262,0.24064585202887395
2025-03-22,Bradford,A,A,1347.8689149092725,1366.6503233860535,21.44701062860203,-0.21195482448109443,0.25391004366001896
2025-03-28,Grimsby,H,A,1339.5817751162353,1349.873511481984,21.3583446605128,-0.21409033349312648,0.25887163209456066
2025-04-01,Gillingham,A,D,1336.9462388913885,1345.1179247424993,21.446662282740345,-0.21384110280271887,0.2579581110526411
2025-04-05,Notts County,H,H,1347.647372160248,1360.4433731680356,21.561555925069282,-0.21597883664756515,0.25150601553157254
2025-04-12,Newport County,A,H,1353.1781977236833,1369.0804371131348,21.637513052985824,-0.2117931836976182,0.24490651196484342
2025-04-18,Crewe,H,D,1353.989682777373,1366.5234037157143,21.563788640595345,-0.2183574483973817,0.23939023980918528
2025-04-21,Doncaster,A,A,1344.7759504425883,1352.2497669135164,21.475137206642454,-0.22356665252949853,0.24682334572055864
2025-04-26,Salford,A,A,1334.2161394102188,1335.5021002980782,21.375209576872475,-0.22374912484782272,0.2594275326046339
2025-05-03,Barrow,H,D,1334.9539962428519,1333.8939459578414,21.288364938844182,-0.22972751972762193,0.25441899016099306
2025-08-02,Tranmere,H,D,1335.4169892203347,1331.23522161634,21.193566729357133,-0.23101192986839872,0.25423288133357047
2025-08-09,Oldham,A,D,1331.5707791008115,1324.1580280722267,21.282852476473305,-0.23188736966467977,0.25245550505635606
2025-08-16,Shrewsbury,A,H,1338.674143388993,1339.1906364219951,21.381400181793907,-0.22683434410568773,0.24629924728757097
2025-08-19,Cambridge,H,A,1331.063871784588,1322.8272214301046,21.28973806999766,-0.22819094454923514,0.25115299711055894
2025-08-23,Barrow,H,A,1322.421938482691,1303.1073019278388,21.19613586295314,-0.2341081579037701,0.2562771871784278
2025-08-30,Barnet,A,D,1320.174526170684,1300.0975630010964,21.276119219490276,-0.23474288102532903,0.2549567296299795
2025-09-06,Crewe,H,D,1321.6008555623273,1300.3038865071774,21.200037936089807,-0.23606196135820928,0.2544592966577369
2025-09-13,Accrington,A,A,1309.6893262438919,1279.0767450605008,21.078110937698803,-0.24182265530852187,0.2526130509444087
2025-09-20,Bristol Rvs,H,D,1311.9265494454444,1282.0238613292415,20.997212435575683,-0.24315579706063348,0.2519296381106003
2025-09-27,Fleetwood Town,A,A,1301.9106117806482,1265.3245917189508,20.890740859421353,-0.23796708029409117,0.26472786263315096
2025-10-04,Chesterfield,H,H,1313.4673729565995,1285.9675429226102,21.007727650582723,-0.21447235870780346,0.26850713477337274
2025-10-11,Grimsby,A,H,1321.9572422675133,1303.8970710927706,21.105182148068263,-0.21026610118792907,0.26695876469318197
2025-10-18,Harrogate,H,H,1331.3137115352959,1318.049345628719,21.21420143464124,-0.20262153489454834,0.26669913256363775
2025-10-25,Swindon,A,D,1330.642359676964,1319.0773535594362,21.311374674245954,-0.20851527170235978,0.2581973803554092
2025-11-08,Bromley,H,A,1323.8278435703035,1304.639493052306,21.235694291863748,-0.2146383422339092,0.2618055217344469
2025-11-15,Walsall,A,H,1332.7556031611175,1321.9640513838626,21.34315166842534,-0.2097654199740851,0.2546007650492666
2025-11-22,Notts County,A,H,1341.122972017828,1338.6088243896058,21.442999612024032,-0.2005313941061565,0.251641538144144
2025-11-29,Cheltenham,H,H,1350.2118220237394,1350.7405946710523,21.55413316443554,-0.19748179059332585,0.2462565600382659
2025-12-06,Gillingham,H,D,1351.1011720388842,1349.70722102399,21.473552374691312,-0.20327845809404985,0.24134360405092337
2025-12-13,Salford,A,A,1340.6382700471902,1332.9476016686626,21.371914239838304,-0.1936255030508644,0.25395363635484297
2025-12-20,Newport County,H,H,1347.2919065956148,1340.859793368663,21.46247125530132,-0.18124349834960615,0.25378140009811095
